,Height 1,Height 2,Height 3,Images
x0y0,0.0008165363509533563,0.00152926881384019,0.000523848910347624,"['samplex0y0E30.tif', 'samplex0y0E45.tif', 'samplex0y0E60.tif', 'samplex0y0W30.tif', 'samplex0y0W45.tif', 'samplex0y0W60.tif']"
x0y1,0.0005179622959445851,0.0006611642972984555,0.0004688129088066262,"['samplex0y1E30.tif', 'samplex0y1E45.tif', 'samplex0y1E60.tif', 'samplex0y1W30.tif', 'samplex0y1W45.tif', 'samplex0y1W60.tif']"
x0y2,0.0024346459113786523,0.000207688713928178,0.0005261424744560372,"['samplex0y2E30.tif', 'samplex0y2E45.tif', 'samplex0y2E60.tif', 'samplex0y2W30.tif', 'samplex0y2W45.tif', 'samplex0y2W60.tif']"
x0y3,6.040417744657134e-05,0.00030986832379653606,0.00010723386432687221,"['samplex0y3E30.tif', 'samplex0y3E45.tif', 'samplex0y3E60.tif', 'samplex0y3W30.tif', 'samplex0y3W45.tif', 'samplex0y3W60.tif']"
x0y4,1.4519455575623397e-05,9.344074460670981e-05,0.00010739656650571305,"['samplex0y4E30.tif', 'samplex0y4E45.tif', 'samplex0y4E60.tif', 'samplex0y4W30.tif', 'samplex0y4W45.tif', 'samplex0y4W60.tif']"
x1y0,0.0002512339618334636,7.705789585088496e-06,0.00046242340789603986,"['samplex1y0E30.tif', 'samplex1y0E45.tif', 'samplex1y0E60.tif', 'samplex1y0W30.tif', 'samplex1y0W45.tif', 'samplex1y0W60.tif']"
x1y1,0.00014227206135331016,0.000240775901133361,0.0002690400715721353,"['samplex1y1E30.tif', 'samplex1y1E45.tif', 'samplex1y1E60.tif', 'samplex1y1W30.tif', 'samplex1y1W45.tif', 'samplex1y1W60.tif']"
x1y2,7.495624431896886e-05,0.00010494498464197477,0.0005153839643128322,"['samplex1y2E30.tif', 'samplex1y2E45.tif', 'samplex1y2E60.tif', 'samplex1y2W30.tif', 'samplex1y2W45.tif', 'samplex1y2W60.tif']"
x1y3,0.0004357097770224527,0.0002506635339187824,0.00032485411844618284,"['samplex1y3E30.tif', 'samplex1y3E45.tif', 'samplex1y3E60.tif', 'samplex1y3W30.tif', 'samplex1y3W45.tif', 'samplex1y3W60.tif']"
x1y4,0.0004977088054971546,6.806824765703823e-05,8.224941548462539e-05,"['samplex1y4E30.tif', 'samplex1y4E45.tif', 'samplex1y4E60.tif', 'samplex1y4W30.tif', 'samplex1y4W45.tif', 'samplex1y4W60.tif']"
